pin_id,success,length_mm,path
66,1,11.00,68.0:0.0 67.0:0.0 67.0:1.0 67.0:2.0 67.0:3.0 67.0:4.0 67.0:5.0 67.0:6.0 67.0:7.0 68.0:7.0 69.0:7.0 70.0:7.0
67,1,10.00,69.0:0.0 69.0:1.0 69.0:2.0 69.0:3.0 69.0:4.0 69.0:5.0 69.0:6.0 69.0:7.0 69.0:8.0 69.0:9.0 70.0:9.0
68,1,11.00,70.0:0.0 70.0:1.0 70.0:2.0 70.0:3.0 70.0:4.0 70.0:5.0 70.0:6.0 70.0:7.0 70.0:8.0 70.0:9.0 70.0:10.0 70.0:11.0
69,1,8.00,71.0:0.0 71.0:1.0 71.0:2.0 71.0:3.0 71.0:4.0 71.0:5.0 72.0:5.0 72.0:6.0 72.0:7.0
70,1,9.00,72.0:0.0 72.0:1.0 72.0:2.0 72.0:3.0 72.0:4.0 72.0:5.0 72.0:6.0 72.0:7.0 72.0:8.0 72.0:9.0
71,1,11.00,72.0:0.0 71.0:0.0 71.0:1.0 71.0:2.0 71.0:3.0 71.0:4.0 71.0:5.0 71.0:6.0 71.0:7.0 72.0:7.0 73.0:7.0 74.0:7.0
72,1,10.00,73.0:0.0 73.0:1.0 73.0:2.0 73.0:3.0 73.0:4.0 73.0:5.0 73.0:6.0 73.0:7.0 73.0:8.0 73.0:9.0 74.0:9.0
73,1,11.00,74.0:0.0 74.0:1.0 74.0:2.0 74.0:3.0 74.0:4.0 74.0:5.0 74.0:6.0 74.0:7.0 74.0:8.0 74.0:9.0 74.0:10.0 74.0:11.0
74,1,10.00,75.0:0.0 75.0:1.0 76.0:1.0 76.0:2.0 76.0:3.0 77.0:3.0 77.0:4.0 77.0:5.0 77.0:6.0 76.0:6.0 76.0:7.0
75,1,9.00,76.0:0.0 76.0:1.0 76.0:2.0 76.0:3.0 76.0:4.0 76.0:5.0 76.0:6.0 76.0:7.0 76.0:8.0 76.0:9.0
76,1,11.00,76.0:0.0 75.0:0.0 75.0:1.0 75.0:2.0 75.0:3.0 75.0:4.0 75.0:5.0 75.0:6.0 75.0:7.0 76.0:7.0 77.0:7.0 78.0:7.0
77,1,10.00,77.0:0.0 77.0:1.0 77.0:2.0 78.0:2.0 78.0:3.0 78.0:4.0 78.0:5.0 78.0:6.0 78.0:7.0 78.0:8.0 78.0:9.0
78,1,13.00,78.0:0.0 78.0:1.0 79.0:1.0 80.0:1.0 80.0:2.0 81.0:2.0 82.0:2.0 83.0:2.0 84.0:2.0 84.0:3.0 84.0:4.0 84.0:5.0 84.0:6.0 84.0:7.0
79,1,8.00,79.0:0.0 79.0:1.0 79.0:2.0 79.0:3.0 80.0:3.0 80.0:4.0 80.0:5.0 80.0:6.0 80.0:7.0
80,1,9.00,80.0:0.0 81.0:0.0 81.0:1.0 81.0:2.0 81.0:3.0 82.0:3.0 82.0:4.0 82.0:5.0 82.0:6.0 82.0:7.0
